ticker,name,sector,type
600519.SH,贵州茅台,消费,stock
000858.SZ,五粮液,消费,stock
601318.SH,中国平安,金融,stock
600036.SH,招商银行,金融,stock
601166.SH,兴业银行,金融,stock
600030.SH,中信证券,金融,stock
600276.SH,恒瑞医药,医药,stock
300760.SZ,迈瑞医疗,医药,stock
000333.SZ,美的集团,消费,stock
000651.SZ,格力电器,消费,stock
300750.SZ,宁德时代,新能源,stock
002594.SZ,比亚迪,新能源,stock
601012.SH,隆基绿能,新能源,stock
600900.SH,长江电力,公用事业,stock
600887.SH,伊利股份,消费,stock
000001.SZ,平安银行,金融,stock
000002.SZ,万科A,地产,stock
600050.SH,中国联通,通信,stock
600031.SH,三一重工,工业,stock
601668.SH,中国建筑,工业,stock
600309.SH,万华化学,材料,stock
600048.SH,保利发展,地产,stock
601888.SH,中国中免,消费,stock
002415.SZ,海康威视,科技,stock
000725.SZ,京东方A,科技,stock
002475.SZ,立讯精密,科技,stock
603259.SH,药明康德,医药,stock
300015.SZ,爱尔眼科,医药,stock
601899.SH,紫金矿业,材料,stock
601857.SH,中国石油,能源,stock
600028.SH,中国石化,能源,stock
600438.SH,通威股份,新能源,stock
300059.SZ,东方财富,金融,stock
002352.SZ,顺丰控股,工业,stock
600585.SH,海螺水泥,材料,stock
600690.SH,海尔智家,消费,stock
601088.SH,中国神华,能源,stock
601398.SH,工商银行,金融,stock
601288.SH,农业银行,金融,stock
601988.SH,中国银行,金融,stock
510300.SH,沪深300ETF,宽基ETF,etf
510500.SH,中证500ETF,宽基ETF,etf
588000.SH,科创50ETF,宽基ETF,etf
159915.SZ,创业板ETF,宽基ETF,etf
512880.SH,证券ETF,行业ETF,etf
512170.SH,医疗ETF,行业ETF,etf
515790.SH,光伏ETF,行业ETF,etf
515700.SH,新能车ETF,行业ETF,etf
512760.SH,芯片ETF,行业ETF,etf
512000.SH,券商ETF,行业ETF,etf
